P1Type,P1Size,P2Type,P2Size,RABiT,piet,Result
Gen|Stack,1,Gen|Stack,1,0.015625,0.01,True
Gen|Stack,2,Gen|Stack,2,0.015625,0.023333333333333334,True
Gen|Stack,3,Gen|Stack,3,0.020833333333333332,0.30000000000000004,True
Gen|Stack,4,Gen|Stack,4,0.06770833333333333,30.0,True
Gen|Stack,5,Gen|Stack,5,0.14583333333333334,30.0,True
Gen|Stack,6,Gen|Stack,6,0.21354168333333334,30.0,True
Gen|Stack,7,Gen|Stack,7,0.4270833333333333,30.0,True
Gen|Stack,8,Gen|Stack,8,1.4270833333333333,30.0,True
Gen|Stack,9,Gen|Stack,9,7.932291666666667,30.0,True
Gen|Stack,10,Gen|Stack,10,60.0,30.0,True
Gen|Stack,11,Gen|Stack,11,60.0,30.0,True
Gen|Stack,12,Gen|Stack,12,60.0,30.0,True
Gen|Stack,13,Gen|Stack,13,60.0,30.0,True
Gen|Stack,14,Gen|Stack,14,60.0,30.0,True
Gen|Stack,15,Gen|Stack,15,60.0,30.0,True
Gen|Stack,16,Gen|Stack,16,60.0,30.0,True
Gen|Stack,17,Gen|Stack,17,60.0,30.0,True
Gen|Stack,18,Gen|Stack,18,60.0,30.0,True
Gen|Stack,19,Gen|Stack,19,60.0,30.0,True
Gen|Stack,20,Gen|Stack,20,60.0,30.0,True
Gen|Stack,1,Gen|Stack,1,0.03125,30.0,False
Gen|Stack,2,Gen|Stack,2,0.020833333333333332,30.0,False
Gen|Stack,3,Gen|Stack,3,0.015625,30.0,False
Gen|Stack,4,Gen|Stack,4,0.036458333333333336,30.0,False
Gen|Stack,5,Gen|Stack,5,0.08333333333333333,30.0,False
Gen|Stack,6,Gen|Stack,6,0.125,30.0,False
Gen|Stack,7,Gen|Stack,7,0.28125001,30.0,False
Gen|Stack,8,Gen|Stack,8,1.1666666666666667,30.0,False
Gen|Stack,9,Gen|Stack,9,3.7552083333333335,30.0,False
Gen|Stack,10,Gen|Stack,10,19.072916666666668,30.0,False
Gen|Stack,11,Gen|Stack,11,60.0,30.0,False
Gen|Stack,12,Gen|Stack,12,60.0,30.0,False
Gen|Stack,13,Gen|Stack,13,60.0,30.0,False
Gen|Stack,14,Gen|Stack,14,60.0,30.0,False
Gen|Stack,15,Gen|Stack,15,60.0,30.0,False
Gen|Stack,16,Gen|Stack,16,60.0,30.0,False
Gen|Stack,17,Gen|Stack,17,60.0,30.0,False
Gen|Stack,18,Gen|Stack,18,60.0,30.0,False
Gen|Stack,19,Gen|Stack,19,60.0,30.0,False
Gen|Stack,20,Gen|Stack,20,60.0,30.0,False
