TestCode,RA,States,Transitions,Memo,Exception,Generator,Result,DEQ-Result,DEQ-Time
Test_01_B,100,101,200,46.8750000000000000,41.6666666666666643,26.0416666666666679,{True},True,41.3333333333333357
Test_01_B,200,201,400,119.7916666666666714,156.2500000000000000,46.8750000000000000,{True},True,411.3333333333333144
Test_01_B,300,301,600,223.9583333333333428,328.1250000000000000,109.3750000000000000,{True},True,1224.0000000000000000
Test_01_B,400,401,800,473.9583333333333144,598.9583333333333712,239.5833333333333428,{True},True,2161.3333333333334849
Test_01_B,500,501,1000,776.0416666666666288,932.2916666666666288,411.4583333333333144,{True},True,3260.3333333333334849
Test_01_B,600,601,1200,1078.1250000000000000,1333.3333333333332575,661.4583333333333712,{True},True,4844.0000000000000000
Test_01_B,700,701,1400,1432.2916666666667425,1802.0833333333332575,1015.6250000000000000,{True},True,7500.0000000000000000
Test_01_B,800,801,1600,2031.2500000000000000,2546.8750000000000000,1546.8750000000000000,{True},True,9645.6666666666660603
Test_01_B,900,901,1800,2588.5416666666665151,3307.2916666666665151,1994.7916666666667425,{True},True,10864.6666666666660603
Test_01_B,1000,1001,2000,3166.6666666666665151,3906.2500000000000000,2645.8333333333334849,{True},True,15328.0000000000000000
