TestCode,RA,States,Transitions,Memo,Exception,Generator,Result
Test_01_B,100,101,200,20.8333333333333321,390.6250000000000000,20.8333333333333321,{False}
Test_01_B,200,201,400,83.3333333333333286,2760.4166666666665151,57.2916666666666643,{False}
Test_01_B,300,301,600,151.0416666666666572,9479.1666666666660603,109.3750000000000000,{False}
Test_01_B,400,401,800,281.2500000000000000,22630.2083333333321207,234.3750000000000000,{False}
Test_01_B,500,501,1000,453.1250000000000000,30000.0000000000000000,427.0833333333333144,{False}
Test_01_B,600,601,1200,791.6666666666666288,30000.0000000000000000,619.7916666666666288,{False}
Test_01_B,700,701,1400,828.1250000000000000,30000.0000000000000000,963.5416666666666288,{False}
Test_01_B,800,801,1600,1109.3750000000000000,30000.0000000000000000,1432.2916666666667425,{False}
Test_01_B,900,901,1800,1385.4166666666667425,30000.0000000000000000,1984.3750000000000000,{False}
Test_01_B,1000,1001,2000,1895.8333333333332575,30000.0000000000000000,2557.2916666666665151,{False}
